Sequence,Description,Location,Pcs,Vendor Part Number,Vendor name
1,"TUSB564 USB Type-C 8.1-Gbps DP Alt Mode linear redriver crosspoint switch for sink side,WQFN (40),5x6mm,TI",U401,1,TUSB564RNQR,TI
2,"TPD6S300 USB Type-C™ Port Protector: Short-to-VBUS Overvoltage and IEC ESD
Protection,WQFN (20),3X3mm,","U402,U504",2,TPD6S300RUKR,TI
3,"TS3USB30E ESD-Protected, High-Speed USB 2.0,1:2 Multiplexer/Demultiplexer Switch With Single Enable,
UQFN (10),1.8X4mm,TI","U403,U404,U405,U502",4,TS3USB30ERSWR,TI
4,"TPD4S010DQAR 4-Lines,Uni-directional,0.05pF,TVS Arrays,DFN-10L ,2.5x1x0.58mm,TI","U406,U407,U505,U506",4,TPD4S010DQAR,TI
,"RClamp0524P.TCT 4-Lines,Uni-directional,0.3pF,TVS Arrays,10Pin,2.5x1x0.58mm,Semetch",,4,RClamp0524P.TCT,Semetch
,"WS05-4R2P 4-Lines,Uni-directional,0.3pF,TVS Arrays,DFN-10L ,2.5x1x0.58mm,Way-on",,4,WS05-4R2P,Way-on
,"ESDA6V8UD-10/TR  4-Lines,Uni-directional,0.4pF,TVS Arrays,DFN-10L ,2.5x1x0.58mm,Willsemi",,4,ESDA6V8UD-10/TR,Willsemi
5,"TUSB546-DCI USB Type-C DP ALT Mode linear redriver crosspoint switch,WQFN (40),4X6mm,TI",U501,1,TUSB546-DCIRNQR,TI
6,"TMUXHS4212 Two-Channel Differential 2:1 Mux / 1:2 Demux,VQFN (20),2.50mm × 4.50mm,TI",U503,1,TMUXHS4212RKSR,TI
7,"TC358775XBG,DSI to single/dual link LVDS to 1920x1200,BGA64,6x6mm,toshiba","U601,U602",2,TC358775XBG,toshiba
8,"LT3495B  650mA Micropower Low Noise Boost Converter,DFN-10,3X2mm,ADI","U603,U604",2,LT3495BEDDB#TRPBF,ADI
9,"SGM4563 4-Bit Level Translator For SPI Bus or UART Interface,UTQFN-1.8×1.8-12L,SGM","U701,U805",2,SGM4563YUQN12G/TR,SGM
10,"SGM4553 2-Bit Bidirectional Voltage-Level Translator,XTDFN-1.4×1-8L,SGM","U702,U804",2,SGM4553YXDO8G/TR,SGM
,"RS0102YUTDS8 2-Bit Bidirectional Voltage-Level Translator,DFN-1.4x1-8L,RUNIC",,2,RS0102YUTDS8,RUNIC
11,"TXS0102DQE 2-Bit Bidirectional Voltage-Level Translator,X2SON(8),1.4x1mm,TI",,2,TXS0102DQE,TI
12,"BCT0102ETA-TR 2-Bit Bidirectional Voltage-Level Translator,XTDFN1.4x1-8L,Broadchip",,2,BCT0102ETA-TR,Broadchip
13,"SN74LVC1G08 Single 2-Input Positive-AND Gate,SON (6),1.45mm × 1.0mm,TI","U703,U704",2,SN74LVC1G08DRYR,TI
,"SGM7SZ08YUDL6G/TR  Single 2-Input Positive-AND Gate,UTDFN-1.45x1-6L,SGM",,2,SGM7SZ08YUDL6G/TR,SGM
14,"LT7911D Type-C to Dual-port MIPI DSI/CSI with Audio,QFN64,7.5X7.5mm,Lontium",U705,1,LT7911D,Lontium
15,"SGM2578YG/TR Ultra Small, Low Input Voltage,Low RON Load Switch,WLCSP-0.9X0.9-4B,SGM","U708,U709,U710,U711",4,SGM2578YG/TR,SGM
,"CPS2140CS  Ultra Small, Low Input Voltage,Low RON Load Switch,WLCSP-0.97X0.97-4B,Chiphome",,4,CPS2140CS,Chiphome
16,"TPS65988DJ Dual Port USB Type-C® and USB PD Controller,QFN (56),7mmX7mm,TI",U801,1,TPS65988DJRSHR,TI
17,"W25Q80DVUXIE 3V 8M-bit seral flash memory with dual and Quad SPI,WSON-8 3X2mm,Winbond",U802,1,W25Q80DVUXIE,Winbond
,"XT25F08BDFIGT-S 3V 8M-bit seral flash memory with dual and Quad SPI,WSON-8 3X2mm,XTX",,1,XT25F08BDFIGT-S ,XTX
,"GD25WQ80EEIG 3V 8M-bit seral flash memory with dual and Quad SPI,WSON-8 3X2mm,GD",,1,GD25WQ80EEIG,GD
18,"ETA1090D3M,1MHz High Output current High Efficiency Synchronous Step-Up Converter,
DFN3X3-12,ETA",U803,1,ETA1090D3M,ETA
19,"TLV1701AIDRLR,2.2-V to 36-V, microPower Comparator,SOT553 (5),1.20 mm × 1.60 mm,TI","U807,U808",2,TLV1701AIDRLR,TI
20,"BQ25616JRTWR 3.0-A Buck Battery Charger ,WQFN-24,4mmX4mm,TI","U901,U902",2,BQ25616JRTWR,TI
21,"LTC4412IS6#TRPBF Low Loss PowerPath™ Controller in ThinSOT,TSOT23-6,ADI","U903,U904",2,LTC4412IS6#TRPBF,ADI
22,"TLA2024IRUGR,4-Channel,12Bit ADC with I2C interface ,X2QFN, 10Pin,TI",U905,1,TLA2024IRUGR,TI
23,"WM8998ECS/R , High performance Audio Hub codec,W-CSP,Cirrus",U1001,1,WM8998ECS/R,Cirrus
24,"FDMA1024NZ Dual N-channel Mosfet,20V,5.0A,54mΩ,2x2mm,Onsemi",U1002,1,FDMA1024NZ,Onsemi
,"CJMND202 Dual N-channel Mosfet,20V,2.1A,45mΩ,2x2mm,JCET",,1,CJMND202,JCET
25,"SN74AUP1G14DRY Low-Power Single Schmitt-Trigger Inverter,SON(6),1.45mmX1.0mm,TI",U1003,1,SN74AUP1G14DRY,TI
,"SGM7SZ04XUDL6G/TR   Low-Power Single Schmitt-Trigger Inverter,UTDFN-1.45x1-6L,SGM",,,SGM7SZ04XUDL6G/TR,SGM
26,"BNO08X family (BNO080/85/86) is a System in Package (SiP),28 pin LGA,Bosch",U1101,1,BNO080/85/86,Bosch
27,Crystal 27MHz  8pF ±10ppm 2520,X701,1,27M,
28,Crystal 32.768KHz 12.5pF ±20ppm  2012 ,X1101,1,32.768K,
