ssd            8.0K 2018-12-05 12:00 sda1_ssd.img
persist         32M 2018-12-05 12:00 sda2_persist.img
cache          256M 2018-12-05 12:00 sda3_cache.img
misc           1.0M 2018-12-05 12:00 sda4_misc.img
keystore       512K 2018-12-05 12:00 sda5_keystore.img
devcfg         128K 2018-12-05 12:00 sda6_devcfg.img
devcfgbak      128K 2018-12-05 12:00 sda7_devcfgbak.img
frp            512K 2018-12-05 12:00 sda8_frp.img
vendor         1.0G 2018-12-05 12:24 sda9_vendor.img
userdata        23G 2018-12-05 12:23 sda10_userdata.img
xbl            3.9M 2018-12-05 12:24 sdb1_xbl.img
xblbak         3.9M 2018-12-05 12:24 sdc1_xblbak.img
reserve         28K 2018-12-05 12:00 sdd1_reserve.img
itc            4.0K 2018-12-05 12:00 sdd2_itc.img
cdt            4.0K 2018-12-05 12:00 sdd3_cdt.img
ddr            1.0M 2018-12-05 12:00 sdd4_ddr.img
rpm            512K 2018-12-05 12:00 sde1_rpm.img
rpmbak         512K 2018-12-05 12:00 sde2_rpmbak.img
tz             2.0M 2018-12-05 12:03 sde3_tz.img
tzbak          2.0M 2018-12-05 12:03 sde4_tzbak.img
hyp            512K 2018-12-05 12:00 sde5_hyp.img
hypbak         512K 2018-12-05 12:00 sde6_hypbak.img
fsg            2.0M 2018-12-05 12:00 sde7_fsg.img
sec             16K 2018-12-05 12:00 sde8_sec.img
pmic           512K 2018-12-05 12:00 sde9_pmic.img
pmicbak        512K 2018-12-05 12:00 sde10_pmicbak.img
modem           95M 2018-12-05 12:00 sde11_modem.img
dsp             16M 2018-12-05 12:00 sde12_dsp.img
dip            1.0M 2018-12-05 12:00 sde13_dip.img
mdtp            32M 2018-12-05 12:00 sde14_mdtp.img
aboot          1.0M 2018-12-05 12:00 sde15_aboot.img
abootbak       1.0M 2018-12-05 12:00 sde16_abootbak.img
boot            64M 2018-12-05 12:00 sde17_boot.img
system         3.0G 2018-12-05 12:03 sde18_system.img
recovery        64M 2018-12-05 12:00 sde19_recovery.img
devinfo        4.0K 2018-12-05 12:00 sde20_devinfo.img
bluetooth      1.0M 2018-12-05 12:00 sde21_bluetooth.img
keymaster      512K 2018-12-05 12:00 sde22_keymaster.img
keymasterbak   512K 2018-12-05 12:00 sde23_keymasterbak.img
cmnlib         512K 2018-12-05 12:00 sde24_cmnlib.img
cmnlibbak      512K 2018-12-05 12:00 sde25_cmnlibbak.img
cmnlib64       512K 2018-12-05 12:00 sde26_cmnlib64.img
cmnlib64bak    512K 2018-12-05 12:00 sde27_cmnlib64bak.img
apdp           256K 2018-12-05 12:00 sde28_apdp.img
msadp          256K 2018-12-05 12:00 sde29_msadp.img
dpo            4.0K 2018-12-05 12:00 sde30_dpo.img
splash          33M 2018-12-05 12:00 sde31_splash.img
sti            2.0M 2018-12-05 12:00 sde32_sti.img
modemst1       2.0M 2018-12-05 12:00 sdf1_modemst1.img
modemst2       2.0M 2018-12-05 12:00 sdf2_modemst2.img
fsc            4.0K 2018-12-05 12:00 sdf3_fsc.img
